Individuals using the internet for playing or downloading games, images, films or music;;;;;;;;;;
% of individuals aged 16 to 74;;;;;;;;;;
geo;2002;2003;2004;2005;2006;2007;2009;2010;2012;2014
EU (28 countries);:;:;:;:;:;21;25;28;35;40
EU (27 countries);:;:;16;16;18;22;25;28;35;40
Euro area (changing composition);:;:;:;15;17;21;24;27;34;41
Euro area (19 countries);:;:;:;:;:;:;:;:;:;:
Belgium;:;:;:;17;20;23;33;:;51;55
Bulgaria;:;:;8;:;12;16;24;22;30;32
Czech Republic;:;9;9;9;12;20;23;29;25;45
Denmark;12;17;19;21;26;33;34;36;53;55
Germany;10;12;15;:;18;21;:;29;40;45
Estonia;:;:;20;24;28;29;35;38;43;41
Ireland;:;4;5;6;11;13;19;20;17;34
Greece;4;7;11;8;11;15;19;18;28;33
Spain;10;18;19;20;23;25;29;28;34;40
France;:;:;:;:;9;21;23;28;33;39
Croatia;:;:;:;:;:;17;22;17;35;23
Italy;:;:;:;10;11;14;17;19;22;32
Cyprus;:;:;18;15;17;20;25;29;37;38
Latvia;:;:;16;21;24;27;38;38;39;39
Lithuania;:;12;15;17;24;27;35;32;31;33
Luxembourg;14;17;29;30;26;33;33;38;49;56
Hungary;:;:;12;17;22;26;29;32;36;35
Malta;:;:;:;14;17;19;28;27;37;41
Netherlands;10;16;15;37;42;45;49;51;55;61
Austria;7;12;10;14;15;17;21;18;32;34
Poland;:;:;14;12;16;17;20;24;28;28
Portugal;:;11;13;14;16;21;20;22;29;32
Romania;:;:;5;:;11;12;21;21;22;25
Slovenia;:;:;16;24;21;25;27;29;34;34
Slovakia;:;:;18;16;18;23;31;32;32;28
Finland;19;25;38;22;33;34;38;47;58;65
Sweden;34;27;23;31;34;35;:;25;56;53
United Kingdom;10;19;25;23;24;26;36;33;43;47
Iceland;:;30;34;29;34;36;42;39;54;53
Liechtenstein;:;:;:;:;:;:;:;:;:;:
Norway;:;23;23;26;37;35;39;41;54;54
Switzerland;:;:;:;:;:;:;:;:;:;:
Montenegro;:;:;:;:;:;:;:;:;24;:
Former Yugoslav Republic of Macedonia, the;:;:;9;:;13;:;30;30;30;30
Albania;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;15;24;:;:;:
Turkey;:;:;8;6;:;16;19;19;21;28
Japan;:;13;:;:;:;:;:;:;:;: