country;2010;2014
geo;2010;2014
EU (28 countries);28;40
Belgium;28;55
Bulgaria;22;32
Czech Republic;29;45
Denmark;36;55
Germany;29;45
Estonia;38;41
Ireland;20;34
Greece;18;33
Spain;28;40
France;28;39
Croatia;17;23
Italy;19;32
Cyprus;29;38
Latvia;38;39
Lithuania;32;33
Luxembourg;38;56
Hungary;32;35
Malta;27;41
Netherlands;51;61
Austria;18;34
Poland;24;28
Portugal;22;32
Romania;21;25
Slovenia;29;34
Slovakia;32;28
Finland;47;65
Sweden;25;53
United Kingdom;33;47
Iceland;39;53
Norway;41;54
Turkey;19;28